age,gender,weight_kg,activity_level,purpose,lean_body_mass_kg,bmr,protein_need_per_lean_kg_sedentary,protein_need_per_lean_kg_active,protein_need_per_lean_kg_very_active,protein_per_kg_min,protein_per_kg_moderate,protein_per_kg_max,activity_protein_multiplier,adjusted_protein_need,age_protein_factor,protein_for_age_group,gender_protein_base,protein_gender_adjusted,purpose_protein_multiplier,protein_for_purpose,lean_to_total_ratio,muscle_mass_score,bmr_per_kg,protein_metabolic_need,training_intensity,recovery_protein_need,protein_g
31,Female,72.9,sedentary,weight_gain,47.5,1416,76,104.5,123.5,58.32,87.48,145.8,0.8,76,1,87.48,1.2,87.48,1.5,142.5,0.651577503,30.94993141,19.42386831,14.16,0,85.5,109
25,Male,60.6,sedentary,weight_loss,51.6,1521,82.56,113.52,134.16,48.48,72.72,121.2,0.8,82.56,1,72.72,1.4,84.84,1.3,134.16,0.851485149,43.93663366,25.0990099,15.21,0,92.88,142
18,Male,65.6,sedentary,muscle_gain,56.6,1635,90.56,124.52,147.16,52.48,78.72,131.2,0.8,90.56,1,78.72,1.4,91.84,1,113.2,0.862804878,48.8347561,24.92378049,16.35,0,101.88,132
20,Male,72.8,sedentary,muscle_gain,61.5,1733,98.4,135.3,159.9,58.24,87.36,145.6,0.8,98.4,1,87.36,1.4,101.92,1,123,0.84478022,51.95398352,23.80494505,17.33,0,110.7,138
51,Male,73.6,moderately_active,weight_loss,56.8,1605,90.88,124.96,147.68,58.88,88.32,147.2,1.4,159.04,1.2,105.984,1.4,103.04,1.3,147.68,0.77173913,43.83478261,21.80706522,16.05,0,102.24,136
20,Female,64.2,lightly_active,weight_loss,48.5,1452,77.6,106.7,126.1,51.36,77.04,128.4,1.1,106.7,1,77.04,1.2,77.04,1.3,126.1,0.755451713,36.6394081,22.61682243,14.52,0,87.3,150
42,Male,81.9,lightly_active,weight_loss,60.9,1697,97.44,133.98,158.34,65.52,98.28,163.8,1.1,133.98,1,98.28,1.4,114.66,1.3,158.34,0.743589744,45.28461538,20.72039072,16.97,0,109.62,157
27,Male,66.6,lightly_active,muscle_gain,55.3,1594,88.48,121.66,143.78,53.28,79.92,133.2,1.1,121.66,1,79.92,1.4,93.24,1,110.6,0.83033033,45.91726727,23.93393393,15.94,1,110.6,146
64,Female,65,sedentary,muscle_gain,39.8,1203,63.68,87.56,103.48,52,78,130,0.8,63.68,1.2,93.6,1.2,78,1,79.6,0.612307692,24.36984615,18.50769231,12.03,0,71.64,121
27,Male,87.9,very_active,weight_loss,65.7,1813,105.12,144.54,170.82,70.32,105.48,175.8,1.7,223.38,1,105.48,1.4,123.06,1.3,170.82,0.747440273,49.10682594,20.62571104,18.13,0,118.26,183
19,Male,79.8,very_active,maintain,62.9,1755,100.64,138.38,163.54,63.84,95.76,159.6,1.7,213.86,1,95.76,1.4,111.72,1,125.8,0.788220551,49.57907268,21.9924812,17.55,3,150.96,97
34,Male,54.7,sedentary,maintain,46.5,1409,74.4,102.3,120.9,43.76,65.64,109.4,0.8,74.4,1,65.64,1.4,76.58,1,93,0.850091408,39.52925046,25.75868373,14.09,0,83.7,60
62,Male,74.7,moderately_active,muscle_gain,46.4,1376,74.24,102.08,120.64,59.76,89.64,149.4,1.4,129.92,1.2,107.568,1.4,104.58,1,92.8,0.621151272,28.82141901,18.42034806,13.76,2,102.08,164
25,Female,71.2,moderately_active,maintain,48.7,1445,77.92,107.14,126.62,56.96,85.44,142.4,1.4,136.36,1,85.44,1.2,85.44,1,97.4,0.683988764,33.31025281,20.29494382,14.45,2,107.14,88
35,Male,76.8,very_active,muscle_gain,56.5,1608,90.4,124.3,146.9,61.44,92.16,153.6,1.7,192.1,1,92.16,1.4,107.52,1,113,0.735677083,41.56575521,20.9375,16.08,3,135.6,156
21,Male,57.5,lightly_active,weight_loss,50,1496,80,110,130,46,69,115,1.1,110,1,69,1.4,80.5,1.3,130,0.869565217,43.47826087,26.0173913,14.96,0,90,134
51,Female,62.4,moderately_active,weight_loss,40.8,1235,65.28,89.76,106.08,49.92,74.88,124.8,1.4,114.24,1.2,89.856,1.2,74.88,1.3,106.08,0.653846154,26.67692308,19.79166667,12.35,0,73.44,134
43,Male,65.8,sedentary,muscle_gain,52.4,1514,83.84,115.28,136.24,52.64,78.96,131.6,0.8,83.84,1,78.96,1.4,92.12,1,104.8,0.796352584,41.72887538,23.00911854,15.14,0,94.32,131
19,Female,66.1,extra_active,weight_loss,49.4,1470,79.04,108.68,128.44,52.88,79.32,132.2,0.8,79.04,1,79.32,1.2,79.32,1.3,128.44,0.747352496,36.91921331,22.23903177,14.7,0,88.92,138
45,Male,81.8,moderately_active,weight_loss,56.8,1613,90.88,124.96,147.68,65.44,98.16,163.6,1.4,159.04,1,98.16,1.4,114.52,1.3,147.68,0.694376528,39.4405868,19.71882641,16.13,0,102.24,182
60,Male,86.5,sedentary,weight_loss,62.9,1735,100.64,138.38,163.54,69.2,103.8,173,0.8,100.64,1.2,124.56,1.4,121.1,1.3,163.54,0.72716763,45.73884393,20.05780347,17.35,0,113.22,174
26,Female,46.3,very_active,weight_loss,37,1206,59.2,81.4,96.2,37.04,55.56,92.6,1.7,125.8,1,55.56,1.2,55.56,1.3,96.2,0.799136069,29.56803456,26.0475162,12.06,0,66.6,98
38,Female,58.1,extra_active,maintain,41.5,1269,66.4,91.3,107.9,46.48,69.72,116.2,0.8,66.4,1,69.72,1.2,69.72,1,83,0.714285714,29.64285714,21.84165232,12.69,0,74.7,66
23,Female,56,lightly_active,muscle_gain,43,1326,68.8,94.6,111.8,44.8,67.2,112,1.1,94.6,1,67.2,1.2,67.2,1,86,0.767857143,33.01785714,23.67857143,13.26,1,86,121
47,Male,92,lightly_active,weight_loss,64.4,1781,103.04,141.68,167.44,73.6,110.4,184,1.1,141.68,1,110.4,1.4,128.8,1.3,167.44,0.7,45.08,19.35869565,17.81,0,115.92,177
35,Male,53.4,extra_active,weight_loss,44.9,1365,71.84,98.78,116.74,42.72,64.08,106.8,0.8,71.84,1,64.08,1.4,74.76,1.3,116.74,0.84082397,37.75299625,25.56179775,13.65,0,80.82,115
38,Female,56.1,lightly_active,weight_loss,40.2,1237,64.32,88.44,104.52,44.88,67.32,112.2,1.1,88.44,1,67.32,1.2,67.32,1.3,104.52,0.71657754,28.80641711,22.04991087,12.37,0,72.36,112
36,Male,59.1,moderately_active,maintain,48.3,1431,77.28,106.26,125.58,47.28,70.92,118.2,1.4,135.24,1,70.92,1.4,82.74,1,96.6,0.817258883,39.47360406,24.21319797,14.31,2,106.26,72
23,Male,81.5,lightly_active,maintain,63,1755,100.8,138.6,163.8,65.2,97.8,163,1.1,138.6,1,97.8,1.4,114.1,1,126,0.773006135,48.6993865,21.53374233,17.55,1,126,98
17,Male,77.3,sedentary,muscle_gain,63,1759,100.8,138.6,163.8,61.84,92.76,154.6,0.8,100.8,1,92.76,1.4,108.22,1,126,0.815006468,51.3454075,22.75549806,17.59,0,113.4,153
34,Male,70.9,lightly_active,weight_loss,55.5,1584,88.8,122.1,144.3,56.72,85.08,141.8,1.1,122.1,1,85.08,1.4,99.26,1.3,144.3,0.782792666,43.44499295,22.34132581,15.84,0,99.9,147
31,Female,62.7,moderately_active,maintain,44.6,1345,71.36,98.12,115.96,50.16,75.24,125.4,1.4,124.88,1,75.24,1.2,75.24,1,89.2,0.711323764,31.72503987,21.45135566,13.45,2,98.12,74
27,Male,69.5,sedentary,maintain,57,1627,91.2,125.4,148.2,55.6,83.4,139,0.8,91.2,1,83.4,1.4,97.3,1,114,0.820143885,46.74820144,23.41007194,16.27,0,102.6,81
21,Female,58.2,lightly_active,muscle_gain,43.3,1325,69.28,95.26,112.58,46.56,69.84,116.4,1.1,95.26,1,69.84,1.2,69.84,1,86.6,0.743986254,32.21460481,22.76632302,13.25,1,86.6,108
29,Male,89.3,moderately_active,muscle_gain,66.2,1824,105.92,145.64,172.12,71.44,107.16,178.6,1.4,185.36,1,107.16,1.4,125.02,1,132.4,0.741321389,49.07547592,20.42553191,18.24,2,145.64,194
30,Female,45.6,lightly_active,weight_gain,35.4,1148,56.64,77.88,92.04,36.48,54.72,91.2,1.1,77.88,1,54.72,1.2,54.72,1.5,106.2,0.776315789,27.48157895,25.1754386,11.48,2,77.88,82
67,Female,38,extra_active,muscle_gain,26.9,887,43.04,59.18,69.94,30.4,45.6,76,0.8,43.04,1.2,54.72,1.2,45.6,1,53.8,0.707894737,19.04236842,23.34210526,8.87,0,48.42,75
16,Male,66.7,lightly_active,weight_loss,55.8,1609,89.28,122.76,145.08,53.36,80.04,133.4,1.1,122.76,1,80.04,1.4,93.38,1.3,145.08,0.836581709,46.68125937,24.12293853,16.09,0,100.44,138
26,Female,67.9,moderately_active,muscle_gain,45.9,1378,73.44,100.98,119.34,54.32,81.48,135.8,1.4,128.52,1,81.48,1.2,81.48,1,91.8,0.675994109,31.0281296,20.29455081,13.78,2,100.98,133
35,Female,54.9,sedentary,weight_loss,38.4,1190,61.44,84.48,99.84,43.92,65.88,109.8,0.8,61.44,1,65.88,1.2,65.88,1.3,99.84,0.699453552,26.85901639,21.67577413,11.9,0,69.12,106
32,Female,44.9,lightly_active,maintain,35.6,1168,56.96,78.32,92.56,35.92,53.88,89.8,1.1,78.32,1,53.88,1.2,53.88,1,71.2,0.792873051,28.22628062,26.01336303,11.68,1,71.2,50
33,Female,58,moderately_active,maintain,39.4,1213,63.04,86.68,102.44,46.4,69.6,116,1.4,110.32,1,69.6,1.2,69.6,1,78.8,0.679310345,26.76482759,20.9137931,12.13,2,86.68,59
32,Female,57.2,sedentary,weight_loss,43.2,1328,69.12,95.04,112.32,45.76,68.64,114.4,0.8,69.12,1,68.64,1.2,68.64,1.3,112.32,0.755244755,32.62657343,23.21678322,13.28,0,77.76,122
35,Female,46.8,sedentary,maintain,35.7,1146,57.12,78.54,92.82,37.44,56.16,93.6,0.8,57.12,1,56.16,1.2,56.16,1,71.4,0.762820513,27.23269231,24.48717949,11.46,0,64.26,60
20,Male,58.7,sedentary,weight_loss,51.9,1546,83.04,114.18,134.94,46.96,70.44,117.4,0.8,83.04,1,70.44,1.4,82.18,1.3,134.94,0.884156729,45.88773424,26.33730835,15.46,0,93.42,109
28,Male,49.9,sedentary,weight_loss,44.5,1390,71.2,97.9,115.7,39.92,59.88,99.8,0.8,71.2,1,59.88,1.4,69.86,1.3,115.7,0.891783567,39.68436874,27.85571142,13.9,0,80.1,104
38,Male,75.9,sedentary,weight_loss,59.8,1678,95.68,131.56,155.48,60.72,91.08,151.8,0.8,95.68,1,91.08,1.4,106.26,1.3,155.48,0.787878788,47.11515152,22.10803689,16.78,0,107.64,144
53,Male,65.3,extra_active,muscle_gain,50.7,1468,81.12,111.54,131.82,52.24,78.36,130.6,0.8,81.12,1.2,94.032,1.4,91.42,1,101.4,0.776416539,39.36431853,22.48085758,14.68,0,91.26,122
21,Male,56.4,sedentary,maintain,50.5,1523,80.8,111.1,131.3,45.12,67.68,112.8,0.8,80.8,1,67.68,1.4,78.96,1,101,0.895390071,45.21719858,27.0035461,15.23,0,90.9,73
39,Male,98.8,moderately_active,weight_loss,69.6,1901,111.36,153.12,180.96,79.04,118.56,197.6,1.4,194.88,1,118.56,1.4,138.32,1.3,180.96,0.704453441,49.02995951,19.24089069,19.01,0,125.28,232
16,Female,53.8,lightly_active,weight_gain,42,1308,67.2,92.4,109.2,43.04,64.56,107.6,1.1,92.4,1,64.56,1.2,64.56,1.5,126,0.780669145,32.78810409,24.31226766,13.08,2,92.4,95
60,Male,80.2,extra_active,weight_gain,58.5,1635,93.6,128.7,152.1,64.16,96.24,160.4,0.8,93.6,1.2,115.488,1.4,112.28,1.5,175.5,0.729426434,42.67144638,20.38653367,16.35,0,105.3,121
22,Male,86.4,sedentary,weight_gain,67.6,1853,108.16,148.72,175.76,69.12,103.68,172.8,0.8,108.16,1,103.68,1.4,120.96,1.5,202.8,0.782407407,52.89074074,21.44675926,18.53,0,121.68,130
32,Female,58.9,lightly_active,muscle_gain,40.5,1241,64.8,89.1,105.3,47.12,70.68,117.8,1.1,89.1,1,70.68,1.2,70.68,1,81,0.687606112,27.84804754,21.06960951,12.41,1,81,118
29,Male,77.8,lightly_active,muscle_gain,57,1625,91.2,125.4,148.2,62.24,93.36,155.6,1.1,125.4,1,93.36,1.4,108.92,1,114,0.732647815,41.76092545,20.88688946,16.25,1,114,170
42,Female,52.7,moderately_active,weight_gain,37.8,1177,60.48,83.16,98.28,42.16,63.24,105.4,1.4,105.84,1,63.24,1.2,63.24,1.5,113.4,0.717267552,27.11271347,22.33396584,11.77,4,98.28,75
25,Male,79.8,lightly_active,maintain,63.4,1761,101.44,139.48,164.84,63.84,95.76,159.6,1.1,139.48,1,95.76,1.4,111.72,1,126.8,0.794486216,50.37042607,22.06766917,17.61,1,126.8,110
43,Female,71,moderately_active,muscle_gain,47.5,1406,76,104.5,123.5,56.8,85.2,142,1.4,133,1,85.2,1.2,85.2,1,95,0.669014085,31.77816901,19.8028169,14.06,2,104.5,132
17,Female,64.2,very_active,weight_loss,45.9,1383,73.44,100.98,119.34,51.36,77.04,128.4,1.7,156.06,1,77.04,1.2,77.04,1.3,119.34,0.714953271,32.81635514,21.54205607,13.83,0,82.62,129
46,Male,82.2,sedentary,weight_gain,60.7,1692,97.12,133.54,157.82,65.76,98.64,164.4,0.8,97.12,1,98.64,1.4,115.08,1.5,182.1,0.738442822,44.82347932,20.58394161,16.92,0,109.26,124
17,Male,64.5,moderately_active,maintain,56.9,1650,91.04,125.18,147.94,51.6,77.4,129,1.4,159.32,1,77.4,1.4,90.3,1,113.8,0.882170543,50.19550388,25.58139535,16.5,2,125.18,82
19,Female,83.3,lightly_active,muscle_gain,53.2,1569,85.12,117.04,138.32,66.64,99.96,166.6,1.1,117.04,1,99.96,1.2,99.96,1,106.4,0.638655462,33.97647059,18.83553421,15.69,1,106.4,175
28,Female,39.4,sedentary,muscle_gain,32.2,1105,51.52,70.84,83.72,31.52,47.28,78.8,0.8,51.52,1,47.28,1.2,47.28,1,64.4,0.817258883,26.31573604,28.04568528,11.05,0,57.96,83
48,Female,47.8,sedentary,weight_loss,33.8,1072,54.08,74.36,87.88,38.24,57.36,95.6,0.8,54.08,1,57.36,1.2,57.36,1.3,87.88,0.707112971,23.90041841,22.42677824,10.72,0,60.84,88
40,Female,60,moderately_active,muscle_gain,39.8,1217,63.68,87.56,103.48,48,72,120,1.4,111.44,1,72,1.2,72,1,79.6,0.663333333,26.40066667,20.28333333,12.17,2,87.56,110
44,Male,73,lightly_active,weight_loss,55.8,1585,89.28,122.76,145.08,58.4,87.6,146,1.1,122.76,1,87.6,1.4,102.2,1.3,145.08,0.764383562,42.65260274,21.71232877,15.85,0,100.44,171
23,Male,58.9,sedentary,weight_gain,49.1,1459,78.56,108.02,127.66,47.12,70.68,117.8,0.8,78.56,1,70.68,1.4,82.46,1.5,147.3,0.833616299,40.93056027,24.77079796,14.59,0,88.38,101
27,Male,75.4,moderately_active,maintain,60.3,1695,96.48,132.66,156.78,60.32,90.48,150.8,1.4,168.84,1,90.48,1.4,105.56,1,120.6,0.799734748,48.22400531,22.4801061,16.95,2,132.66,103
34,Female,46.7,very_active,weight_gain,34.9,1120,55.84,76.78,90.74,37.36,56.04,93.4,1.7,118.66,1,56.04,1.2,56.04,1.5,104.7,0.74732334,26.08158458,23.98286938,11.2,6,104.7,78
21,Female,64.6,sedentary,maintain,46.1,1385,73.76,101.42,119.86,51.68,77.52,129.2,0.8,73.76,1,77.52,1.2,77.52,1,92.2,0.713622291,32.89798762,21.43962848,13.85,0,82.98,66
41,Male,68.4,lightly_active,weight_loss,54.1,1552,86.56,119.02,140.66,54.72,82.08,136.8,1.1,119.02,1,82.08,1.4,95.76,1.3,140.66,0.790935673,42.78961988,22.69005848,15.52,0,97.38,151
29,Male,77.8,sedentary,weight_loss,59.3,1671,94.88,130.46,154.18,62.24,93.36,155.6,0.8,94.88,1,93.36,1.4,108.92,1.3,154.18,0.762210797,45.19910026,21.4781491,16.71,0,106.74,182
21,Male,71.9,lightly_active,muscle_gain,61.5,1735,98.4,135.3,159.9,57.52,86.28,143.8,1.1,135.3,1,86.28,1.4,100.66,1,123,0.855354659,52.60431154,24.13073713,17.35,1,123,139
17,Male,73.2,lightly_active,muscle_gain,61,1721,97.6,134.2,158.6,58.56,87.84,146.4,1.1,134.2,1,87.84,1.4,102.48,1,122,0.833333333,50.83333333,23.51092896,17.21,1,122,135
23,Female,65.1,sedentary,muscle_gain,46.7,1400,74.72,102.74,121.42,52.08,78.12,130.2,0.8,74.72,1,78.12,1.2,78.12,1,93.4,0.717357911,33.50061444,21.50537634,14,0,84.06,119
45,Female,67.4,lightly_active,maintain,43.3,1303,69.28,95.26,112.58,53.92,80.88,134.8,1.1,95.26,1,80.88,1.2,80.88,1,86.6,0.642433234,27.81735905,19.33234421,13.03,1,86.6,70
39,Female,60,lightly_active,muscle_gain,41.8,1270,66.88,91.96,108.68,48,72,120,1.1,91.96,1,72,1.2,72,1,83.6,0.696666667,29.12066667,21.16666667,12.7,1,83.6,110
65,Male,64,moderately_active,muscle_gain,46.3,1351,74.08,101.86,120.38,51.2,76.8,128,1.4,129.64,1.2,92.16,1.4,89.6,1,92.6,0.7234375,33.49515625,21.109375,13.51,2,101.86,130
42,Male,70.1,very_active,weight_loss,56.9,1621,91.04,125.18,147.94,56.08,84.12,140.2,1.7,193.46,1,84.12,1.4,98.14,1.3,147.94,0.811697575,46.18559201,23.12410842,16.21,0,102.42,136
63,Female,68,sedentary,muscle_gain,41.3,1245,66.08,90.86,107.38,54.4,81.6,136,0.8,66.08,1.2,97.92,1.2,81.6,1,82.6,0.607352941,25.08367647,18.30882353,12.45,0,74.34,124
47,Female,41.7,lightly_active,maintain,31.4,1035,50.24,69.08,81.64,33.36,50.04,83.4,1.1,69.08,1,50.04,1.2,50.04,1,62.8,0.752997602,23.6441247,24.82014388,10.35,1,62.8,57
48,Female,62.9,sedentary,muscle_gain,41.4,1253,66.24,91.08,107.64,50.32,75.48,125.8,0.8,66.24,1,75.48,1.2,75.48,1,82.8,0.658187599,27.24896661,19.92050874,12.53,0,74.52,130
20,Female,63.4,extra_active,maintain,46.6,1401,74.56,102.52,121.16,50.72,76.08,126.8,0.8,74.56,1,76.08,1.2,76.08,1,93.2,0.735015773,34.25173502,22.0977918,14.01,0,83.88,86
33,Male,86.4,moderately_active,weight_gain,63.4,1762,101.44,139.48,164.84,69.12,103.68,172.8,1.4,177.52,1,103.68,1.4,120.96,1.5,190.2,0.733796296,46.52268519,20.39351852,17.62,4,164.84,138
34,Female,44.7,sedentary,weight_loss,33.2,1073,53.12,73.04,86.32,35.76,53.64,89.4,0.8,53.12,1,53.64,1.2,53.64,1.3,86.32,0.742729306,24.65861298,24.00447427,10.73,0,59.76,104
47,Male,72.2,lightly_active,weight_loss,54.9,1561,87.84,120.78,142.74,57.76,86.64,144.4,1.1,120.78,1,86.64,1.4,101.08,1.3,142.74,0.760387812,41.74529086,21.62049861,15.61,0,98.82,161
29,Male,71.2,sedentary,maintain,58.1,1649,92.96,127.82,151.06,56.96,85.44,142.4,0.8,92.96,1,85.44,1.4,99.68,1,116.2,0.816011236,47.41025281,23.16011236,16.49,0,104.58,93
28,Male,57.4,moderately_active,maintain,49.9,1494,79.84,109.78,129.74,45.92,68.88,114.8,1.4,139.72,1,68.88,1.4,80.36,1,99.8,0.869337979,43.37996516,26.02787456,14.94,2,109.78,65
20,Male,75,lightly_active,weight_loss,63.4,1774,101.44,139.48,164.84,60,90,150,1.1,139.48,1,90,1.4,105,1.3,164.84,0.845333333,53.59413333,23.65333333,17.74,0,114.12,152
29,Female,40.3,moderately_active,weight_gain,31.7,1062,50.72,69.74,82.42,32.24,48.36,80.6,1.4,88.76,1,48.36,1.2,48.36,1.5,95.1,0.786600496,24.93523573,26.35235732,10.62,4,82.42,72
21,Male,73.6,lightly_active,maintain,59.1,1672,94.56,130.02,153.66,58.88,88.32,147.2,1.1,130.02,1,88.32,1.4,103.04,1,118.2,0.80298913,47.45665761,22.7173913,16.72,1,118.2,89
27,Male,69.1,sedentary,weight_loss,55.5,1591,88.8,122.1,144.3,55.28,82.92,138.2,0.8,88.8,1,82.92,1.4,96.74,1.3,144.3,0.803183792,44.57670043,23.02460203,15.91,0,99.9,165
51,Female,65,sedentary,weight_loss,41.9,1264,67.04,92.18,108.94,52,78,130,0.8,67.04,1.2,93.6,1.2,78,1.3,108.94,0.644615385,27.00938462,19.44615385,12.64,0,75.42,134
48,Male,58.4,very_active,muscle_gain,46.2,1372,73.92,101.64,120.12,46.72,70.08,116.8,1.7,157.08,1,70.08,1.4,81.76,1,92.4,0.79109589,36.54863014,23.49315068,13.72,3,110.88,126
21,Male,86.1,sedentary,weight_loss,68.1,1863,108.96,149.82,177.06,68.88,103.32,172.2,0.8,108.96,1,103.32,1.4,120.54,1.3,177.06,0.790940767,53.8630662,21.63763066,18.63,0,122.58,163
31,Female,43,moderately_active,muscle_gain,33.1,1085,52.96,72.82,86.06,34.4,51.6,86,1.4,92.68,1,51.6,1.2,51.6,1,66.2,0.769767442,25.47930233,25.23255814,10.85,2,72.82,81
43,Male,68,sedentary,weight_loss,52.8,1520,84.48,116.16,137.28,54.4,81.6,136,0.8,84.48,1,81.6,1.4,95.2,1.3,137.28,0.776470588,40.99764706,22.35294118,15.2,0,95.04,151
22,Male,65.7,very_active,maintain,57.9,1675,92.64,127.38,150.54,52.56,78.84,131.4,1.7,196.86,1,78.84,1.4,91.98,1,115.8,0.881278539,51.0260274,25.49467275,16.75,3,138.96,89
39,Male,75.2,moderately_active,weight_loss,60.2,1688,96.32,132.44,156.52,60.16,90.24,150.4,1.4,168.56,1,90.24,1.4,105.28,1.3,156.52,0.800531915,48.19202128,22.44680851,16.88,0,108.36,158
21,Male,81.5,lightly_active,maintain,64.7,1792,103.52,142.34,168.22,65.2,97.8,163,1.1,142.34,1,97.8,1.4,114.1,1,129.4,0.793865031,51.36306748,21.98773006,17.92,1,129.4,103
18,Female,54.6,moderately_active,muscle_gain,40,1245,64,88,104,43.68,65.52,109.2,1.4,112,1,65.52,1.2,65.52,1,80,0.732600733,29.3040293,22.8021978,12.45,2,88,111
18,Female,56.1,sedentary,muscle_gain,44.2,1365,70.72,97.24,114.92,44.88,67.32,112.2,0.8,70.72,1,67.32,1.2,67.32,1,88.4,0.787878788,34.82424242,24.3315508,13.65,0,79.56,107
60,Female,54.3,lightly_active,weight_loss,35.7,1100,57.12,78.54,92.82,43.44,65.16,108.6,1.1,78.54,1.2,78.192,1.2,65.16,1.3,92.82,0.657458564,23.47127072,20.25782689,11,0,64.26,126
22,Female,53.4,moderately_active,maintain,40.6,1266,64.96,89.32,105.56,42.72,64.08,106.8,1.4,113.68,1,64.08,1.2,64.08,1,81.2,0.760299625,30.86816479,23.70786517,12.66,2,89.32,71
19,Female,52.1,sedentary,maintain,40.9,1285,65.44,89.98,106.34,41.68,62.52,104.2,0.8,65.44,1,62.52,1.2,62.52,1,81.8,0.785028791,32.10767754,24.66410749,12.85,0,73.62,60
18,Male,61.2,sedentary,weight_gain,51.3,1512,82.08,112.86,133.38,48.96,73.44,122.4,0.8,82.08,1,73.44,1.4,85.68,1.5,153.9,0.838235294,43.00147059,24.70588235,15.12,0,92.34,86
67,Female,77.3,moderately_active,muscle_gain,39.7,1239,63.52,87.34,103.22,61.84,92.76,154.6,1.4,111.16,1.2,111.312,1.2,92.76,1,79.4,0.513583441,20.38926261,16.02846054,12.39,2,87.34,146
29,Female,51,moderately_active,weight_loss,38.2,1203,61.12,84.04,99.32,40.8,61.2,102,1.4,106.96,1,61.2,1.2,61.2,1.3,99.32,0.749019608,28.61254902,23.58823529,12.03,0,68.76,92
47,Female,76.7,sedentary,weight_loss,45.6,1371,72.96,100.32,118.56,61.36,92.04,153.4,0.8,72.96,1,92.04,1.2,92.04,1.3,118.56,0.59452412,27.11029987,17.87483703,13.71,0,82.08,183
38,Female,52.2,extra_active,weight_gain,36.5,1140,58.4,80.3,94.9,41.76,62.64,104.4,0.8,58.4,1,62.64,1.2,62.64,1.5,109.5,0.699233716,25.52203065,21.83908046,11.4,0,65.7,90
29,Male,73.7,moderately_active,weight_loss,59.7,1682,95.52,131.34,155.22,58.96,88.44,147.4,1.4,167.16,1,88.44,1.4,103.18,1.3,155.22,0.810040706,48.35943012,22.82225237,16.82,0,107.46,167
38,Male,73.2,lightly_active,weight_loss,57.5,1626,92,126.5,149.5,58.56,87.84,146.4,1.1,126.5,1,87.84,1.4,102.48,1.3,149.5,0.785519126,45.16734973,22.21311475,16.26,0,103.5,167
